商品代码,说明,市场价值,员工数量,部门,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),RSI(14)
300949,奥雅设计,2845199890,1437,商业服务,SZSE,杂项商业服务,0.04588987,,28.6766451,7.02938226,8.35564065
600466,蓝光发展,7159093255,19855,金融,SSE,房地产开发,1.68310133,2.29851615,19.7614376,0.43702667,11.68483614
605122,四方新材,3576345581,,非能源矿业,SSE,建筑材料,0.2271051,,27.15541768,3.56188028,12.07849181
600016,民生银行,163067129366.7129,59262,金融,SSE,地区银行,5.18970665,5.37692516,6.46465694,0.37907939,12.31037656
300968,格林精密,5783186174,4654,电子科技,SZSE,电子生产设备,0.13087244,,15.97678046,5.10646123,12.62005019
300962,中金辐照,5074116185,564,科技服务,SZSE,IT服务,0.04342957,,10.25712248,8.40959792,13.58177283
605289,罗曼股份,2126015115.0000005,220,配送服务,SSE,批发分销商,0.1734753,,17.80430265,3.26519135,14.63416355
605286,同力日升,3042480103,1615,制造业,SSE,金属加工,0.08198678,20.70695553,21.62057385,4.05087687,14.64814229
300961,深水海纳,3646649521,,商业服务,SZSE,杂项商业服务,0.60691598,39.26721466,14.24501953,5.21737332,14.7020091
300947,德必集团,2332349482,461,金融,SZSE,房地产开发,1.7132479,,10.98978014,2.52645765,14.81901992
300952,恒辉安防,3500002887,,健康科技,SZSE,医学专业,0.1708689,,24.1524513,6.99981211,14.91921705
600661,昂立教育,2340390756,5383,科技服务,SSE,IT服务,1.41685033,,-25.32742595,4.33632112,15.16244011
300983,尤安设计,6900000000,1286,工业服务,SZSE,工程建设,0.09459245,,49.3230179,9.7141294,15.63994602
601933,永辉超市,37245123163,120748,零售行业,SSE,食品零售,2.54770136,157.14285714,1.34964363,1.94864576,16.46249112
002468,申通快递,9898637416,9725,制造业,SZSE,建筑产品,0.58552578,,-1.24938126,1.14289654,17.07524386
000961,中南建设,17640437879,46615,工业服务,SZSE,工程建设,1.81944705,2.45901639,27.66076567,0.61511014,17.13617346
003042,中农联合,2726847870,,加工制造业,SZSE,化学品：农业,0.4930613,27.76357827,10.82677972,2.86868109,17.40623763
001201,东瑞股份,6534904935,837,非耐用消费品,SZSE,食品：肉/鱼/乳制品,0.29040923,,76.90726222,5.31085465,18.11852639
300943,春晖智控,2704012045,574,制造业,SZSE,工业机械,0.13134439,,15.60902324,5.26659819,18.30197101
002607,中公教育,70308350968,45066,配送服务,SZSE,批发分销商,1.27585568,30.87923729,71.68817274,16.82102773,18.35903173
600675,中华企业,16337641579,1565,金融,SSE,房地产开发,0.81858226,12.4137931,8.53278221,1.04677941,19.40284562
601686,友发集团,14572578934,11640,非能源矿业,SSE,钢铁,0.8341301,,22.92981766,2.29728906,20.13560976
605133,嵘泰股份,3062399902,2022,制造业,SSE,工业机械,0.10414848,21.73165252,15.92473059,3.55753653,20.19695602
000656,金科股份,22086101229,22910,金融,SZSE,房地产开发,1.59977518,3.33485958,22.49318663,0.67091322,20.20914487
300972,万辰生物,2383854959,,加工制造业,SZSE,农副产品,0.26573008,,25.79048369,6.20278033,20.44776285
603682,锦和商业,2631825081,464,金融,SSE,房地产开发,2.460773,18.70026525,14.15994902,1.72462297,20.54029231
605001,威奥股份,3186305214,2849,制造业,SSE,金属加工,0.43940338,36.49373882,7.42881549,1.11536359,20.61886029
600823,世茂股份,12378854924,2615,工业服务,SSE,工程建设,0.5383121,7.94939126,6.05930309,0.47880945,20.66132828
600170,上海建工,23554784637,48609,工业服务,SSE,工程建设,3.19994188,7.02032198,12.32477106,0.84470456,20.79009609
001979,招商蛇口,71741443342,48465,金融,SZSE,房地产开发,0.63403593,5.86838323,13.92508775,0.89831186,20.91721246
600004,白云机场,19904100220,11360,运输,SSE,空运/快递,0.15393493,,-1.93956497,1.04935018,21.14114965
002697,红旗连锁,6228799896,16632,零售行业,SZSE,食品零售,0.28415181,12.90232298,14.35854697,1.82063039,21.41759253
605060,联德股份,3427199936,,制造业,SSE,工业机械,0.01867741,20.25547445,19.66122916,3.6956789,21.45217291
600603,广汇物流,4470798448,737,金融,SSE,房地产开发,0.37237271,5.21428571,13.01032314,0.91559701,21.72581932
300956,英力股份,3235320030,2552,制造业,SZSE,杂项制造,0.18365576,,15.79006268,4.36814264,21.95467502
600340,华夏幸福,16093196288,21450,金融,SSE,房地产开发,3.12865561,,-6.49039929,0.26404155,22.09207716
002146,荣盛发展,20653779297,24778,金融,SZSE,房地产开发,1.37980727,2.74757057,16.69789103,0.44570556,22.241882
300967,晓鸣股份,2855716244,1440,加工制造业,SZSE,农副产品,0.2949328,57.87313433,8.51891224,4.7290334,22.35125189
601975,招商南油,9317345995,2244,运输,SSE,海运,0.42333827,12.93565684,13.13670009,1.6663357,22.39696428
600649,城投控股,11180724714,321,耐用消费品,SSE,住宅设计,1.35531519,12.5,4.56433698,0.5604379,22.52463257
002394,联发股份,2334653812,7615,加工制造业,SZSE,纺织品,0.15155145,6.59737912,10.30996607,0.63711445,22.63708123
601318,中国平安,998662975201.0254,362035,金融,SSE,多元化保险,2.1800497,,19.93409583,1.29431756,22.75115204
002562,兄弟科技,3844144229,2647,加工制造业,SZSE,化学品：特种,0.56404747,165.45454545,0.73450263,1.15506053,22.75185023
300976,达瑞电子,7516092266,2803,电子科技,SZSE,电子生产设备,0,,28.45076894,8.86492805,22.81606471
600593,*ST圣亚,1436119985,519,消费者服务,SSE,电影/娱乐,1.16399409,,-14.29682567,3.15646542,23.19977433
000002,万 科Ａ,238475781897.5108,140565,金融,SZSE,房地产开发,0.78698522,5.82376117,20.05855548,1.08616626,23.21631589
600488,天药股份,4498572653,2943,健康科技,SSE,药品：其他,0.36374946,213.84615385,0.71216214,1.52202557,23.27459846
605389,长龄液压,5080803393,520,制造业,SSE,卡车/建筑/农业机械,0.07093486,,37.64919755,7.15932312,23.31984689
601998,中信银行,196541044342.64255,58879,金融,SSE,地区银行,4.62940259,5.14772727,9.92610033,0.47519742,23.32454214
603238,诺邦股份,2247570285,1451,加工制造业,SSE,纺织品,0.2353236,8.55806095,25.04155538,2.00352938,23.4048409
000785,居然之家,33950991723,11239,零售行业,SZSE,百货公司,1.54663762,19.15904936,10.93699835,1.73944218,23.47313876
600093,*ST易见,3109179581,,非耐用消费品,SSE,食品：特色/糖果,0.40800772,,4.54118448,,23.48960112
000876,新 希 望,52383909850,95993,加工制造业,SZSE,农副产品,1.29773919,14.23670669,10.4928106,1.302492,23.5953072
601319,中国人保,195537955400.9867,193494,金融,SSE,财产/财产保险,0.49223664,9.69289827,11.64949392,1.10453977,23.66124992
000042,中洲控股,4766839588,2489,耐用消费品,SZSE,住宅设计,1.88925559,21.11622555,3.03475169,0.61977016,23.69088287
002661,克明食品,3729324241,4987,非耐用消费品,SZSE,食品：特色/糖果,0.20138708,13.29493641,10.90935569,1.42412059,23.76092043
300951,博硕科技,6584000244,,电子科技,SZSE,计算机通讯,0.03132699,38.91599034,50.28747841,16.87918107,23.76810157
000529,广弘控股,2907275621,1743,加工制造业,SZSE,纺织品,0.11787205,9.68235744,16.35330531,1.51865758,23.77711462
000889,中嘉博创,3168669540,4613,消费者服务,SZSE,其他消费者服务,0.11177859,55.69823435,2.50292557,1.3844337,23.78216871
002310,东方园林,7465584044,3459,工业服务,SZSE,工程建设,1.20761095,,-4.41101585,0.62820293,23.83768786
300969,恒帅股份,2792000122,644,制造业,SZSE,汽车零件：OEM,0.07828848,42.27152279,23.36894048,8.85877033,23.88256813
002558,巨人网络,19959942827,1681,商业服务,SZSE,杂项商业服务,0.05485055,19.78550296,11.54407899,2.16250301,23.88575303
002565,顺灏股份,3548572444,1768,加工制造业,SZSE,容器/包装,0.26769008,215.625,0.8715511,1.87717303,23.96083386
002847,盐津铺子,6565403473,3256,非耐用消费品,SZSE,食品：多元化,0.91166552,25.82708165,32.72217038,7.75256444,24.02343444
002705,新宝股份,16509752044,28786,耐用消费品,SZSE,电子/电器,0.50826863,,0.03382406,2.70805567,24.03655176
003019,宸展光电,3107840088,676,电子科技,SZSE,计算机外围设备,0.07960879,29.26652897,13.10890961,2.57033505,24.28006162
601963,重庆银行,23243799970.452915,4401,金融,SSE,大银行,4.39603779,,11.47141893,0.81045541,24.32415571
000089,深圳机场,14068279258,5241,运输,SZSE,其他运输,0.4328967,71.36972194,1.66580906,1.19175983,24.53710153
000965,天保基建,2508217897,300,非能源矿业,SZSE,建筑材料,0.63579125,,-0.84807655,0.47430504,24.65569926
601816,京沪高铁,221470255771,57,工业服务,SSE,工程建设,0.41019147,69.5585997,1.75693472,1.2221212,24.73146944
600897,厦门空港,4487996112,3276,运输,SSE,其他运输,0.03610486,21.24309392,5.72226459,1.2215637,24.77094275
600566,济川药业,13581464719,6923,健康科技,SSE,药品：其他,0.09970999,10.58783087,16.95398832,1.76205607,24.85404599
002157,正邦科技,29274584464,52322,加工制造业,SZSE,农副产品,1.12844852,4.63654224,29.64517835,1.23404339,24.86315279
000967,盈峰环境,19698939130,8725,制造业,SZSE,工业机械,0.43577782,14.46712018,8.49589551,1.19224703,24.88295511
300761,立华股份,10561461974,5772,加工制造业,SZSE,农副产品,0.19590759,14.2693196,10.87177884,1.57873294,24.98567231
000895,双汇发展,90704829514,44833,非耐用消费品,SZSE,食品：肉/鱼/乳制品,0.18735123,14.40898676,28.87762773,3.87100146,25.03775887
200037,深南电B,3233387829.4643283,403,公用事业,SZSE,发电厂,0.22906551,28.62910657,2.90923687,0.78529208,25.07747033
002695,煌上煌,6935959241,2386,非耐用消费品,SZSE,食品：肉/鱼/乳制品,0.05279622,24.82294618,12.68245861,2.92510521,25.11296505
600015,华夏银行,84475854222,39748,金融,SSE,大银行,5.32474406,3.87684486,9.11275095,0.38286388,25.18884721
000671,阳 光 城,18522371338,21319,金融,SZSE,房地产开发,1.99512211,3.76227734,21.28107303,0.6963327,25.21242242
