商品代码,说明,市场价值,员工数量,板块,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),aboveMa1,aboveMa2,maxChange
GOOG,ALPHABET INC,1630861765390.0002,135301.0,科技服务,NASDAQ,互联网软件/服务,0.1228061,32.07359271,23.68748732,7.30937276,100,79,78
GOOGL,ALPHABET INC,1595195690530.0,135301.0,科技服务,NASDAQ,互联网软件/服务,0.1228061,31.45850059,23.68748732,7.16919708,100,78,75
FB,FACEBOOK INC,929069350841.58,58604.0,科技服务,NASDAQ,互联网软件/服务,0.09083699,28.04068504,28.23891765,7.27939517,100,84,52
BRK.A,BERKSHIRE HATHAWAY INC,658881736000.0,360000.0,金融,NYSE,多元化保险,0.26360001,6.55347857,25.37435086,1.5060198,80,58,66
NVDA,NVIDIA CORP,390857152000.0,18975.0,电子科技,NASDAQ,半导体,0.45687563,90.74315704,29.77626559,22.97189722,100,74,84
UNH,UNITEDHEALTH GROUP INC,389947103420.0,330000.0,健康服务,NYSE,卫生保健管理,0.65537956,23.47795443,27.36726076,5.96639664,100,58,50
KO,COCA-COLA CO,237271750400.0,80300.0,非耐用消费品,NYSE,饮料:非酒精饮料,2.01428443,32.82804074,37.4782541,12.21341715,64,76,30
TM,TOYOTA MOTOR CORP ADR-EACH REP 2 ORD NPV LVLIII(SPON),226808000000.0,,耐用消费品,NYSE,机动车,1.05645946,10.78300401,10.57038001,1.07082663,74,73,39
PEP,PEPSICO INC,204895729000.00003,291000.0,非耐用消费品,NASDAQ,饮料:非酒精饮料,3.10716573,27.48943427,54.69137604,15.21137971,84,85,18
LLY,ELI LILLY AND COMPANY,192754434750.0,35000.0,健康科技,NYSE,药品:专业,2.28254898,29.81888939,122.12478076,33.77972809,92,66,63
UPS,UNITED PARCEL SERVICE INC,186128533299.24,543000.0,运输,NYSE,空运/快递,3.74339992,35.23189178,100.59352862,278.4448482,97,52,120
COST,COSTCO WHOLESALE CORP,170649961080.0,273000.0,零售行业,NASDAQ,专业商店,0.63661727,39.41256481,26.92617616,9.30052736,94,99,34
C,CITIGROUP INC,160237716000.0,210000.0,金融,NYSE,金融集团,2.51233563,10.17029453,8.61324959,0.89409902,50,66,96
UL,UNILEVER PLC ADS-EA REPR 1 ORD GPB0.03111,159324000000.0,,非耐用消费品,NYSE,家庭/个人护理,1.54658737,25.34010068,37.7961707,8.57377728,70,61,19
AZN,ASTRAZENECA SPON ADR EACH REP 0.50 ORD SHS,149418000000.0,76100.0,健康科技,NASDAQ,药品:专业,1.39360377,37.38667718,31.77156603,9.56395041,68,94,26
RY,ROYAL BANK OF CANADA,146268555300.0,86000.0,金融,NYSE,大银行,3.66011812,16.17732132,13.52410054,2.40312763,77,68,64
MS,MORGAN STANLEY,140883506000.0,68000.0,金融,NYSE,投资银行/经纪商,2.67956464,11.66432575,13.96842582,1.73783049,100,49,106
NVO,NOVO NORDISK A/S ADR-EACH CNV INTO 1 CLASS B DKK1,139464000000.0,45323.0,健康科技,NYSE,药品:专业,0.16505402,27.85169785,77.97398545,17.85698417,99,97,31
SNY,SANOFI SPON ADR ECH REP 0.5 ORD SHS,134541000000.0,99412.0,健康科技,NASDAQ,药品:专业,0.37491884,9.80771689,19.27216244,1.74287372,74,86,23
BLK,BLACKROCK INC,133724119980.0,16500.0,金融,NYSE,投资经理,0.21046512,25.33535799,15.57176904,3.77958019,100,76,70
TD,TORONTO-DOMINION BANK,133348405100.0,,金融,NYSE,大银行,2.42177626,14.18655433,13.22607435,1.96866087,58,65,76
RTX,RAYTHEON TECHNOLOGIES CORPORATION,131055285000.0,181000.0,电子科技,NYSE,航空航天 & 国防,0.45117395,,-4.99455548,1.81626039,52,69,71
AXP,AMERICAN EXPRESS CO,127387789740.00002,63700.0,金融,NYSE,金融/租赁,1.78318132,25.92580439,21.86338137,5.53420042,58,73,78
