商品代码,说明,市场价值,员工数量,部门,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),RSI(14),accums,currents
603025,大豪科技,32091016047.0,864.0,制造业,SSE,工业机械,0.00131944,125.44144505,14.53115659,17.69925054,50.02303563,4,-4
002234,民和股份,5269299230.0,4531.0,加工制造业,SZSE,农副产品,0.1710407,83.6565097,1.93283585,1.73925263,50.02828916,9,0
600520,文一科技,1273777135.0,694.0,制造业,SSE,工业机械,0.62655571,97.81021898,3.57521587,3.36967045,50.04182212,2,-4
000971,ST高升,2736820269.0,822.0,科技服务,SZSE,数据处理服务,0.05859892,22.7154047,10.59191992,2.25774641,50.05112589,5,0
603385,惠达卫浴,3867892097.0,9043.0,耐用消费品,SSE,家居装修,0.28704118,11.72357534,8.92055824,1.03547799,50.05296685,5,-5
002096,南岭民爆,2881187106.0,5080.0,加工制造业,SZSE,特种工业品,0.35713601,78.22580645,1.84299922,1.4195321,50.05443551,3,-1
002740,爱迪尔,1929759659.0,606.0,加工制造业,SZSE,特种工业品,0.73851775,,-92.11982331,2.12343927,50.05603853,10,-2
688215,瑞晟智能,1632030370.0,387.0,制造业,SSE,工业机械,0.01428883,64.39178199,5.76311372,3.79052406,50.06356472,3,-2
600965,福成股份,4715717531.0,2427.0,加工制造业,SSE,农副产品,0.06041579,34.76161738,6.56057206,2.31000602,50.06683445,7,0
300059,东方财富,310589690454.0,4927.0,科技服务,SZSE,互联网软件/服务,1.07609707,43.66463092,19.94803228,7.80616778,50.07698999,7,7
300786,国林科技,1876262375.0,602.0,制造业,SZSE,工业机械,0.06598301,23.26764039,9.94340741,2.25138395,50.08212991,5,0
300293,蓝英装备,3712500000.0,1063.0,制造业,SZSE,工业机械,1.06355824,,-27.19385883,6.18322121,50.09984563,9,-1
002405,四维图新,32163956315.0,4518.0,科技服务,SZSE,套装软件,0.01383306,,-2.90675986,3.56363875,50.10991261,4,-1
300237,美晨生态,4152715126.0,2441.0,制造业,SZSE,汽车零件：OEM,1.44256085,83.72093023,1.49670088,1.29796382,50.13079023,4,-3
000975,银泰黄金,28072660165.0,1566.0,金融,SZSE,房地产开发,0.08210181,22.12253829,12.99422397,2.83847638,50.14230045,4,-4
688027,国盾量子,16640000000.0,367.0,电子科技,SSE,电信设备,0.0,669.0254101,1.88268561,9.95791345,50.14286781,2,5
300532,今天国际,2404448587.0,551.0,科技服务,SZSE,套装软件,0.4007024,58.0474934,5.26199883,2.80293161,50.14858711,6,1
601156,东航物流,36466149709.0,6949.0,运输,SSE,空运/快递,0.11538295,,55.08121221,6.97557153,50.15443302,4,-5
