商品代码,说明,交易所,aboveMa1,aboveMa2,maxChange
IC,中证500期货主力连续合约,   CFFEX,99,78,31
IF,沪深300期货主力连续合约,   CFFEX,97,86,53
IH,上证50期货主力连续合约,    CFFEX,91,77,46
T,10年期国债期货主力连续合约, CFFEX,-1,-2,-1
TF,5年期国债期货主力连续合约, CFFEX,-1,-2,-1
TS,2年期国债期货主力连续合约, CFFEX,-1,-1,-1
AP,苹果主力连续合约, CZCE,-1,-2,-1
CF,棉花主力连续合约, CZCE,77,6,45
CJ,红枣主力连续合约, CZCE,-1,-1,-1
CY,棉纱主力连续合约, CZCE,62,0,32
FG,玻璃主力连续合约, CZCE,98,73,112
JR,粳稻主力连续合约, CZCE,-1,-1,-1
LR,晚籼稻主力连续合约, CZCE,-1,-1,-1
MA,甲醇主力连续合约, CZCE,71,2,63
OI,菜油主力连续合约, CZCE,94,80,64
PF,短纤主力连续合约, CZCE,-1,-1,-1
PM,普麦主力连续合约, CZCE,-1,-1,-1
RI,早籼稻主力连续合约 , CZCE,-1,-2,-1
RM,菜粕主力连续合约, CZCE,88,55,40
RS,菜籽主力连续合约, CZCE,49,99,80
SA,纯碱主力连续合约, CZCE,-1,-1,-1
SF,硅铁主力连续合约, CZCE,70,6,50
SM,锰硅主力连续合约, CZCE,48,11,30
SR,白糖主力连续合约, CZCE,37,79,17
TA,PTA主力连续合约 , CZCE,39,0,51
UR,尿素主力连续合约, CZCE,-1,-1,-1
WH,强麦主力连续合约, CZCE,66,23,20
ZC,动力煤主力连续合约, CZCE,88,0,82
A,豆一主力连续合约, DCE,100,57,48
B,豆二主力连续合约, DCE,88,50,57
BB,胶合板主力连续合约, DCE,-1,-1,-1
C,玉米主力连续合约, DCE,100,74,42
CS,玉米淀粉主力连续合约, DCE,100,32,41
EB,苯乙烯主力连续合约, DCE,-1,-1,-1
EG,乙二醇主力连续合约, DCE,-1,-1,-1
FB,纤维板主力连续合约, DCE,76,50,36
I,铁矿石主力连续合约, DCE,100,51,91
J,焦炭主力连续合约, DCE,94,6,65
JD,鸡蛋主力连续合约, DCE,48,70,49
JM,焦煤主力连续合约, DCE,72,33,83
L,塑料主力连续合约, DCE,86,0,42
M,豆粕主力连续合约, DCE,93,43,37
P,棕榈油主力连续合约, DCE,89,56,86
PP,聚丙烯主力连续合约, DCE,84,0,36
RR,粳米主力连续合约, DCE,-1,-1,-1
V,PVC主力连续合约, DCE,88,32,56
Y,豆油主力连续合约, DCE,84,52,74
LU,低硫燃料油连续合约,INE,-1,-1,-1
NR,20号胶主力连续合约,INE,-1,-1,-1
SC,原油主力连续合约,INE,39,32,99
A,白银主力连续合约,SHFE,-1,-1,-1
AL,铝主力连续合约,SHFE,94,41,59
AU,黄金主力连续合约,SHFE,-1,-2,-1
BU,沥青主力连续合约,SHFE,52,17,55
CU,铜主力连续合约,SHFE,94,13,79
FU,燃油主力连续合约,SHFE,59,4,62
HC,热轧卷板主力连续合约,SHFE,96,16,96
NI,镍主力连续合约, SHFE,78,47,46
PB,铅主力连续合约, SHFE,62,4,17
RB,螺纹钢主力连续合约, SHFE,97,16,76
RU,橡胶主力连续合约, SHFE,79,49,68
SN,锡主力连续合约, SHFE,95,0,57
SP,纸浆主力连续合约, SHFE,-1,-1,-1
SS,不锈钢主力连续合约, SHFE,-1,-1,-1
WR,线材主力连续合约, SHFE,76,56,89
ZN,锌主力连续合约,SHFE,85,0,44
