商品代码,说明,市场价值,员工数量,板块,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),aboveMa1,aboveMa2,maxChange
700,TENCENT,5864960000000.0,51350.0,科技服务,HKEX,互联网软件/服务,0.31624477,29.10207388,29.33973702,7.04308098,-1,-1,-1
1398,ICBC,1806980000000.0,,金融,HKEX,大银行,1.462994,4.95746553,11.47191034,0.57130237,-1,-1,-1
3968,CM BANK,1805740000000.0,90867.0,金融,HKEX,地区银行,2.58527158,15.47606139,15.17420424,2.38083277,-1,-1,-1
939,CCB,1580070000000.0,,金融,HKEX,大银行,1.55042651,,11.77265458,,-1,-1,-1
1299,AIA,1235740000000.0,23000.0,金融,HKEX,人寿/健康保险,0.16845197,27.60182215,9.55414857,2.52137754,-1,-1,-1
1810,XIAOMI-W,1154280000000.0,,电子科技,HKEX,电信设备,0.15882069,,24.1091821,,-1,-1,-1
1288,ABC,1098950000000.0,459000.0,金融,HKEX,地区银行,2.00264083,4.3934518,11.1722377,0.49173602,-1,-1,-1
5,HSBC HOLDINGS,1000476599648.325,235000.0,金融,HKEX,大银行,1.71897743,20.87316743,3.22042222,0.74113664,-1,-1,-1
3988,BANK OF CHINA,930205000000.0,309084.0,金融,HKEX,大银行,2.32914958,4.17437252,9.79198486,0.44556054,-1,-1,-1
1658,PSBC,852383000000.0,194527.0,金融,HKEX,储蓄银行,0.62660532,6.3542776,10.85527115,0.72423894,-1,-1,-1
6288,FAST RETAIL-DRS,644440000000.0,57727.0,零售行业,HKEX,零售服装/鞋类,0.76480454,90.92218732,9.42731812,9.21552619,-1,-1,-1
2359,WUXI APPTEC,629170000000.0,26411.0,健康科技,HKEX,药品:专业,0.13663601,148.59853923,11.4201232,12.53121799,-1,-1,-1
388,HKEX,611155000000.0,,金融,HKEX,投资银行/经纪商,0.05686695,46.72589571,29.11636084,12.49343991,-1,-1,-1
857,PETROCHINA,576516000000.0,432003.0,能源矿产,HKEX,成品油,0.39218855,7.84753363,5.25293601,0.40015295,-1,-1,-1
9999,NTES-S,569617000000.0,28239.0,科技服务,HKEX,互联网软件/服务,0.22245016,41.91728014,17.37948031,5.65376293,-1,-1,-1
386,SINOPEC CORP,498813000000.0,384065.0,能源矿产,HKEX,成品油,0.39525308,6.14100462,9.65127215,0.56738448,-1,-1,-1
2269,WUXI BIO,493764000000.0,6646.0,健康科技,HKEX,生物科技,0.15942915,262.22615623,9.83629501,19.62089451,-1,-1,-1
2378,PRU-50,426383176804.9828,18687.0,金融,HKEX,多元化保险,0.41037117,24.71004727,10.91903276,2.64828874,-1,-1,-1
2020,ANTA SPORTS,420499000000.0,41000.0,非耐用消费品,HKEX,服装/鞋类,0.6863294,72.82233218,23.17740102,15.05986296,-1,-1,-1
708,EVERG VEHICLE,393689000000.0,8796.0,健康服务,HKEX,医院/护理管理,-12.5048824,,,,-1,-1,-1
3328,BANKCOMM,385424000000.0,90716.0,金融,HKEX,大银行,2.99164,4.24505153,10.13219344,0.44329686,-1,-1,-1
883,CNOOC,380843000000.0,18353.0,能源矿产,HKEX,石油和天然气生产,0.33081142,13.53753372,5.54022006,0.74061983,-1,-1,-1
1876,BUD APAC,358896000000.0,,非耐用消费品,HKEX,饮料:酒精饮料,0.02187471,89.94357783,4.9991606,,-1,-1,-1
16,SHK PPT,346864000000.0,39500.0,金融,HKEX,房地产开发,0.18381583,15.9996792,3.76048421,0.60665044,-1,-1,-1
1088,CHINA SHENHUA,337405000000.0,76182.0,能源矿产,HKEX,煤炭,0.14142167,7.84748188,10.18421668,0.78220043,-1,-1,-1
945,MANULIFE-S,311033301865.4561,37000.0,金融,HKEX,人寿/健康保险,0.25614746,9.72975993,10.06055485,1.05587261,-1,-1,-1
11,HANG SENG BANK,308953000000.0,9628.0,金融,HKEX,地区银行,0.30644324,19.3252903,9.44796733,1.80299382,-1,-1,-1
2313,SHENZHOU INTL,306958000000.0,,非耐用消费品,HKEX,服装/鞋类,0.24655029,53.46949463,18.97878476,,-1,-1,-1
6969,SMOORE INTL,305124000000.0,14273.0,非耐用消费品,HKEX,烟草,0.02666657,109.36498183,35.34047649,20.40612862,-1,-1,-1
2899,ZIJIN MINING,300584000000.0,36860.0,非能源矿业,HKEX,贵金属,1.09726798,32.69603768,16.34121735,4.8522131,-1,-1,-1
2388,BOC HONG KONG,300268000000.0,14915.0,金融,HKEX,大银行,1.82881636,11.33642025,9.30862701,1.03432615,-1,-1,-1
27,GALAXY ENT,288417000000.0,18500.0,消费者服务,HKEX,博彩,0.14077454,,-5.63512506,4.26969278,-1,-1,-1
1928,SANDS CHINA LTD,286090000000.0,27000.0,消费者服务,HKEX,博彩,3.66251944,,-47.62956204,19.12030268,-1,-1,-1
66,MTR CORPORATION,277010000000.0,34209.0,运输,HKEX,铁路,0.34350015,,-2.64671403,1.5665533,-1,-1,-1
6030,CITIC SEC,275986000000.0,19012.0,金融,HKEX,投资银行/经纪商,2.15373873,16.43698514,8.42300783,1.28100666,-1,-1,-1
960,LONGFOR GROUP,270815000000.0,35426.0,金融,HKEX,房地产开发,0.94019058,12.15901882,19.3775607,2.10579322,-1,-1,-1
1109,CHINA RES LAND,264201000000.0,48414.0,金融,HKEX,房地产开发,0.80828732,7.85406885,16.08066691,1.13646504,-1,-1,-1
669,TECHTRONIC IND,264064000000.0,48028.0,耐用消费品,HKEX,五金工具,0.43589996,42.64310411,21.89965967,8.72174725,-1,-1,-1
267,CITIC,254540000000.0,135304.0,金融,HKEX,金融/租赁,2.92193563,4.49501695,8.94737092,0.37750094,-1,-1,-1
6160,BEIGENE,251560000000.0,5300.0,健康科技,HKEX,生物科技,0.15951196,,-34.17300677,8.36708149,-1,-1,-1
3,HK & CHINA GAS,242756000000.0,2130.0,公用事业,HKEX,燃气经销商,0.59020468,40.41420118,9.17369829,3.6363346,-1,-1,-1
6098,CG SERVICES,240892000000.0,153585.0,金融,HKEX,房地产开发,0.23656965,73.53348545,25.94432521,13.51596837,-1,-1,-1
1,CKH HOLDINGS,238303000000.0,300000.0,零售行业,HKEX,专业商店,0.73917345,8.17741538,6.08044599,0.48213148,-1,-1,-1
291,CHINA RES BEER,223200000000.0,27000.0,非耐用消费品,HKEX,饮料:酒精饮料,0.00940115,96.5749621,9.80166848,8.87222234,-1,-1,-1
2382,SUNNY OPTICAL,208967000000.0,24374.0,电子科技,HKEX,电子元器件,0.45965691,37.99256062,32.6405361,10.61912855,-1,-1,-1
998,CITIC BANK,208463000000.0,58879.0,金融,HKEX,地区银行,4.62940259,4.20990216,10.01141817,0.37690543,-1,-1,-1
728,CHINA TELECOM,206378000000.0,281192.0,通讯,HKEX,主要电信,0.25667782,8.86339937,5.64393265,0.47891371,-1,-1,-1
2,CLP HOLDINGS,201232000000.0,8060.0,公用事业,HKEX,发电厂,0.48856125,17.56572027,10.52675105,1.79350977,-1,-1,-1
1113,CK ASSET,201135000000.0,58000.0,金融,HKEX,房地产开发,0.25410644,11.29604944,4.67368349,0.52020608,-1,-1,-1
2333,GREATWALL MOTOR,198816000000.0,63174.0,耐用消费品,HKEX,机动车,0.74716779,22.79874214,13.99947838,2.91994909,-1,-1,-1
6186,CHINA FEIHE,187600000000.0,7385.0,非耐用消费品,HKEX,食品：肉/鱼/乳制品,0.07391291,22.78151443,46.92635118,8.91564526,-1,-1,-1
981,SMIC,185650000000.0,17354.0,电子科技,HKEX,半导体,0.26154291,31.45074946,6.74171688,1.57179281,-1,-1,-1
1919,COSCO SHIP HOLD,183893000000.0,29379.0,运输,HKEX,海运,1.79585375,16.26192541,24.69528206,3.53191319,-1,-1,-1
2319,MENGNIU DAIRY,179556000000.0,40626.0,非耐用消费品,HKEX,食品：肉/鱼/乳制品,0.50860313,45.22911922,11.11437063,4.59143275,-1,-1,-1
6818,CEB BANK,179386000000.0,46316.0,金融,HKEX,地区银行,3.48246114,4.79353162,9.51332615,0.43932778,-1,-1,-1
12,HENDERSON LAND,176953000000.0,9065.0,金融,HKEX,房地产开发,0.28985346,17.36012112,3.14345725,0.54009395,-1,-1,-1
2331,LI NING,171140000000.0,,非耐用消费品,HKEX,服装/鞋类,0.12802079,90.47993706,20.97487964,,-1,-1,-1
2888,STANCHART,169934362938.53455,83657.0,金融,HKEX,大银行,2.53883275,62.09143476,0.98509477,0.50468209,-1,-1,-1
2328,PICC P&C,166598000000.0,180616.0,金融,HKEX,财产/财产保险,0.28412733,7.13809206,11.31832145,0.74935295,-1,-1,-1
2196,FOSUN PHARMA,165820000000.0,32258.0,健康科技,HKEX,药品：其他,0.53308084,40.23631654,10.38054353,3.78618511,-1,-1,-1
3908,CICC,164804000000.0,9372.0,金融,HKEX,投资银行/经纪商,3.6776648,11.64228312,13.13348373,1.38087368,-1,-1,-1
1177,SINO BIOPHARM,164522000000.0,24108.0,健康科技,HKEX,生物科技,0.55553373,38.62433862,15.72896061,8.2857251,-1,-1,-1
384,CHINA GAS HOLD,160565000000.0,59462.0,公用事业,HKEX,燃气经销商,0.83337902,15.95833565,23.22003604,3.77507659,-1,-1,-1
2688,ENN ENERGY,157991000000.0,,公用事业,HKEX,燃气经销商,0.55520845,22.33685183,21.70838508,4.35865079,-1,-1,-1
823,LINK REIT,156764000000.0,1400.0,金融,HKEX,房地产投资信托基金,0.25853259,,-16.26451878,0.97025096,-1,-1,-1
3759,PHARMARON,150949000000.0,11012.0,商业服务,HKEX,杂项商业服务,0.15110385,100.82347973,15.51288125,14.42691897,-1,-1,-1
881,ZHONGSHENG HLDG,149805000000.0,31460.0,零售行业,HKEX,专业商店,1.17068701,24.32696533,22.41926924,4.70546802,-1,-1,-1
1929,CHOW TAI FOOK,142000000000.0,29700.0,耐用消费品,HKEX,其他消费特产,0.75022159,39.44444444,13.25245327,5.39036491,-1,-1,-1
1093,CSPC PHARMA,140586000000.0,21527.0,健康科技,HKEX,仿制药,0.01370993,24.2025108,24.65344753,5.30951876,-1,-1,-1
1997,WHARF REIC,139970000000.0,2700.0,金融,HKEX,房地产开发,0.25919612,,-3.73364392,0.68427959,-1,-1,-1
1772,GANFENGLITHIUM,138943000000.0,5533.0,加工制造业,HKEX,化学品：特种,0.46448687,114.22044546,10.58829895,10.55667456,-1,-1,-1
1972,SWIREPROPERTIES,138645000000.0,5000.0,金融,HKEX,房地产开发,0.0957651,33.84747358,1.42305481,0.48017916,-1,-1,-1
1913,PRADA,136897000000.0,12858.0,非耐用消费品,HKEX,服装/鞋类,1.01173643,,-1.4656884,5.09510223,-1,-1,-1
1801,INNOVENT BIO,135152000000.0,3279.0,健康科技,HKEX,药品:专业,0.13742592,,-14.210117,12.51221211,-1,-1,-1
1339,PICC GROUP,124712000000.0,193494.0,金融,HKEX,财产/财产保险,0.72291957,5.56432518,10.06633887,0.51948339,-1,-1,-1
3606,FUYAO GLASS,124485000000.0,25871.0,耐用消费品,HKEX,家居装修,0.53679661,40.75529819,11.85411193,4.67112179,-1,-1,-1
1038,CKI HOLDINGS,120564000000.0,2195.0,工业服务,HKEX,工程建设,0.42691442,16.47046606,6.56366848,1.08184877,-1,-1,-1
868,XINYI GLASS,119463000000.0,14334.0,加工制造业,HKEX,特种工业品,0.41672758,18.57214807,26.35948203,4.27397483,-1,-1,-1
992,LENOVO GROUP,116564000000.0,63000.0,电子科技,HKEX,计算机处理硬件,1.27485182,16.27164229,26.20270704,4.69269626,-1,-1,-1
285,BYD ELECTRONIC,112660000000.0,100300.0,电子科技,HKEX,电子元器件,0.12323953,18.39249586,26.97729307,4.26631353,-1,-1,-1
6185,CANSINOBIO-B,111082000000.0,726.0,健康科技,HKEX,药品:专业,0.08488411,,-10.12318028,11.31733928,-1,-1,-1
3993,CMOC,110555000000.0,10956.0,非能源矿业,HKEX,其他金属/矿物,1.13197363,33.2038835,7.37203136,2.39755477,-1,-1,-1
168,TSINGTAO BREW,110038000000.0,35678.0,非耐用消费品,HKEX,饮料:酒精饮料,0.0441575,36.55416794,12.80487901,4.50047226,-1,-1,-1
1378,CHINAHONGQIAO,109639000000.0,42445.0,非能源矿业,HKEX,铝业,0.97553702,8.72215369,15.34097345,1.26423447,-1,-1,-1
17,NEW WORLD DEV,107432000000.0,44000.0,金融,HKEX,房地产开发,0.89971618,98.97051708,0.49430389,0.50617769,-1,-1,-1
1193,CHINA RES GAS,106606000000.0,48205.0,公用事业,HKEX,燃气经销商,0.2508729,20.38338104,16.33522925,2.93889046,-1,-1,-1
268,KINGDEE INT'L,106476000000.0,10663.0,科技服务,HKEX,套装软件,0.02149054,,-4.7038691,11.51892475,-1,-1,-1
656,FOSUN INTL,104883000000.0,76000.0,金融,HKEX,多元化保险,1.31285678,11.70868347,6.30053304,0.69604603,-1,-1,-1
